life_expectancy_year_1990_both_sex,life_expectancy_year_1990_female,life_expectancy_year_1990_male,life_expectancy_year_2000_both_sex,life_expectancy_year_2000_female,life_expectancy_year_2000_male,life_expectancy_year_2010_both_sex,life_expectancy_year_2010_female,life_expectancy_year_2010_male,margin_of_error_year_1990_both_sex,margin_of_error_year_1990_female,margin_of_error_year_1990_male,margin_of_error_year_2000_both_sex,margin_of_error_year_2000_female,margin_of_error_year_2000_male,margin_of_error_year_2010_both_sex,margin_of_error_year_2010_female,margin_of_error_year_2010_male,state_city_county
76.07,79.91,72.75,79.07,82.49,75.83,80.72,82.73,78.65,3.39,5.11,4.43,2.78,3.7,3.9,3.06,4.53,4.04,Henderson
77.03,80.67,73.36,77.68,80.29,74.91,79.11,81.67,76.56,1.28,1.75,1.79,1.33,1.83,1.87,1.23,1.54,1.83,Henry
76.46,79.59,73.11,76.81,79.27,74.23,77.66,80.1,75.19,1.78,2.38,2.57,1.66,2.27,2.34,1.64,2.32,2.27,Iroquois
75.73,78.94,72.32,76.39,79.1,73.6,78.05,80.14,75.87,1.36,1.81,1.94,1.32,1.87,1.81,1.36,1.9,1.92,Jackson
77.16,80.22,74.21,76.46,79.89,73.29,80.35,83.82,77.06,2.78,3.77,3.96,3.44,4.6,4.78,2.88,3.52,4.35,Jasper
75.37,79.25,71.43,77.06,79.4,74.69,76.56,79.11,74.2,1.57,2.08,2.25,1.47,2.03,2.06,1.52,2.14,2.11,Jefferson
74.89,78.05,71.62,76.43,79.73,73.06,78.05,79.93,76.2,2.13,2.72,3.17,1.94,2.32,2.97,1.85,2.53,2.63,Jersey
78.41,82.4,74.55,79.19,81.56,76.89,81.28,81.95,80.66,1.98,2.56,2.83,1.87,2.71,2.5,1.75,2.53,2.46,Jo Daviess
75.92,79.11,73.29,76.66,81.29,73.08,77.49,79.5,75.48,2.69,3.89,3.58,2.72,2.98,4.14,2.89,3.96,4.28,Johnson
76.18,79.13,72.98,77.94,80.11,75.59,80.96,82.54,79.25,0.56,0.76,0.78,0.48,0.65,0.68,0.42,0.56,0.61,Kane
73.37,76.5,70.2,74.46,77.74,71.27,77.88,80.68,75.08,1.0,1.39,1.41,0.92,1.25,1.31,0.88,1.17,1.27,Kankakee
77.81,80.59,74.92,78.79,80.92,76.46,81.01,83.3,78.58,1.58,2.23,2.14,1.3,1.78,1.83,0.95,1.28,1.35,Kendall
76.24,79.37,72.95,77.21,79.45,74.9,76.94,79.11,74.84,1.26,1.76,1.75,1.19,1.5,1.77,1.37,1.95,1.88,Knox
77.16,79.46,74.68,78.43,80.36,76.39,81.34,82.91,79.65,0.43,0.59,0.6,0.37,0.49,0.53,0.35,0.48,0.52,Lake
