"county","state","voteshare","year","dem1912_3party","note","incparty","incumbency","attacks","electionyearattacks","coastal"
"BARBOUR","AL",0.984749436378479,1912,0.91590678691864,".",-1,-1,0,0,0
"BARBOUR","AL",0.965306103229523,1916,NA,".",1,1,0,0,0
"BARBOUR","AL",0.885080635547638,1920,NA,".",1,0,0,0,0
"BARBOUR","AL",0.945304453372955,1924,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.640404045581818,1928,NA,".",-1,0,0,0,0
"BARBOUR","AL",0.971915721893311,1932,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.979899525642395,1936,NA,".",1,1,0,0,0
"BARBOUR","AL",0.962851405143738,1940,NA,".",1,1,0,0,0
"BARBOUR","AL",0.971340835094452,1944,NA,".",1,1,0,0,0
"BARBOUR","AL",0.943579792976379,1948,NA,".",1,1,0,0,0
"BARBOUR","AL",0.738216757774353,1952,NA,".",1,0,0,0,0
"BARBOUR","AL",0.764999985694885,1956,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.662599980831146,1960,NA,".",-1,0,0,0,0
"BARBOUR","AL",0,1964,NA,".",1,1,0,0,0
"BARBOUR","AL",0.830999970436096,1968,NA,".",1,0,0,0,0
"BARBOUR","AL",0.27020001411438,1972,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.557299971580505,1976,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.516600012779236,1980,NA,".",1,1,0,0,0
"BARBOUR","AL",0.456800013780594,1984,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.436199992895126,1988,NA,".",-1,0,0,0,0
"BARBOUR","AL",0.519400000572205,1992,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.568899989128113,1996,NA,".",1,1,0,0,0
"BARBOUR","AL",0.541499972343445,2000,NA,".",1,0,0,0,0
"BARBOUR","AL",0.450300008058548,2004,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.492700010538101,2008,NA,".",-1,0,0,0,0
"BARBOUR","AL",0.515775740146637,2012,NA,".",1,1,0,0,0
"BIBB","AL",0.64599996805191,1872,NA,".",-1,-1,0,0,0
"BIBB","AL",0.727999985218048,1876,NA,".",-1,0,0,0,0
"BIBB","AL",0.874000012874603,1880,NA,".",-1,0,0,0,0
"BIBB","AL",0.693467319011688,1884,NA,".",-1,0,0,0,0
"BIBB","AL",0.593561351299286,1888,NA,".",1,1,0,0,0
"BIBB","AL",0.990972936153412,1892,NA,".",-1,-1,0,0,0
"BIBB","AL",0.601915180683136,1896,NA,".",1,0,0,0,0
